,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
9269,63,5,74,15,124,1494,0,pink
9270,286,5,334,94,528,5857,1,purple
9271,0,5,5,0,5,86,0,pink
9272,5,0,5,0,5,141,0,pink
9273,5,0,5,5,5,191,0,pink
9274,5,0,10,5,15,229,0,pink
9275,46,5,42,16,72,1000,0,pink
9276,52,0,79,16,115,1204,0,pink
9277,68,0,104,27,145,1487,0,pink
9278,107,5,90,33,165,1519,0,pink
9279,294,5,337,99,533,5742,1,purple
9280,0,0,5,0,5,88,0,pink
9281,5,0,5,0,5,146,0,pink
9282,5,0,5,5,5,163,0,pink
9283,5,5,5,5,13,262,0,pink
9284,39,0,46,15,70,936,0,pink
9285,61,0,76,26,111,1200,0,pink
9286,66,0,99,23,142,1413,0,pink
9287,122,0,98,33,187,1534,0,pink
9288,244,0,308,75,477,5585,1,purple
9289,5,0,5,0,5,55,0,pink
9290,5,0,5,5,5,119,0,pink
9291,5,0,5,0,5,169,0,pink
9292,5,0,10,5,10,230,0,pink
9293,23,0,46,5,61,921,0,pink
9294,58,0,80,24,114,1209,0,pink
9295,59,0,84,14,129,1399,0,pink
9296,96,0,82,25,153,1483,0,pink
9297,189,5,340,68,464,5857,1,purple
9298,5,0,5,5,5,98,0,pink
9299,5,0,5,5,5,119,0,pink
9300,5,0,5,0,5,152,0,pink
9301,5,0,12,5,13,246,0,pink
9302,13,5,46,5,52,918,0,pink
9303,43,5,77,18,103,1251,0,pink
9304,55,0,105,21,139,1476,0,pink
9305,70,5,92,17,146,1597,0,pink
9306,197,30,332,60,498,6015,1,purple
9307,5,5,5,0,5,84,0,pink
9308,5,5,5,0,5,120,0,pink
9309,5,5,5,0,5,143,0,pink
9310,5,5,5,0,21,238,0,pink
9311,25,5,48,5,72,1035,0,pink
9312,37,5,68,5,102,1294,0,pink
9313,49,5,111,22,143,1519,0,pink
9314,73,5,89,22,142,1582,0,pink
9315,311,156,451,102,807,6992,1,purple
9316,5,5,5,0,5,79,0,pink
9317,0,5,5,0,5,130,0,pink
9318,5,5,5,0,5,184,0,pink
9319,5,5,10,5,18,255,0,pink
9320,34,25,59,11,106,1116,0,pink
9321,46,34,105,17,166,1401,0,pink
9322,115,42,149,47,257,1860,0,pink
9323,107,44,119,26,242,1967,0,pink
9324,245,55,397,88,601,6222,1,purple
9325,5,5,5,5,5,65,0,pink
9326,5,0,5,5,5,110,0,pink
9327,5,0,5,5,5,161,0,pink
9328,5,5,11,5,16,251,0,pink
9329,24,10,59,14,78,1009,0,pink
9330,48,14,98,25,132,1270,0,pink
9331,72,11,112,26,169,1617,0,pink
9332,88,18,111,19,195,1739,0,pink
9333,163,5,346,51,461,5317,1,purple
9334,0,0,5,0,5,52,0,pink
9335,5,0,5,0,5,87,0,pink
9336,5,0,5,5,5,123,0,pink
9337,5,0,5,5,5,182,0,pink
9338,17,0,45,5,58,832,0,pink
9339,37,0,93,16,114,1148,0,pink
9340,45,5,93,14,124,1424,0,pink
9341,56,5,103,14,148,1469,0,pink
9342,149,5,368,56,463,5685,1,purple
9343,5,0,5,0,5,50,0,pink
9344,0,0,0,0,0,56,0,pink
9345,0,0,5,0,5,106,0,pink
9346,5,0,5,0,5,166,0,pink
9347,13,5,47,5,59,906,0,pink
9348,26,0,92,11,107,1220,0,pink
9349,54,5,128,27,156,1567,0,pink
9350,54,0,89,16,127,1614,0,pink
9351,98,5,227,44,288,3489,1,purple
9352,0,0,0,0,0,18,0,pink
9353,5,0,5,5,5,19,0,pink
9354,5,0,5,5,5,35,0,pink
9355,0,0,5,0,5,94,0,pink
9356,10,5,26,5,32,499,0,pink
9357,13,5,45,5,52,794,0,pink
9358,32,5,67,15,86,979,0,pink
9359,41,5,76,15,105,1051,0,pink
9360,0,5,51,0,55,937,0,pink
9361,0,0,0,0,0,14,0,pink
9362,0,0,0,0,0,17,0,pink
9363,0,0,0,0,0,21,0,pink
9364,0,0,0,0,0,23,0,pink
9365,0,5,5,0,10,153,0,pink
9366,0,0,13,0,13,191,0,pink
9367,0,5,11,0,12,231,0,pink
9368,0,5,19,0,20,287,0,pink
9369,0,10,43,0,53,881,0,pink
